Position,Gross
ADMIN; SUPERINTENDENT,"$291,734.99"
ADMIN; TREASURER,"$216,148.67"
ADMIN; DEPUTY SUPERINTENDENT,"$198,731.22"
ADMIN; DIRECTOR SERS,"$175,989.60"
ADMIN; CHIEF ACADEMIC OFFICER,"$175,704.02"
DIRECTOR SERS,"$174,853.51"
ADMIN; CHIEF HR OFFICER,"$169,947.09"
CMF; CUSTODIAN,"$156,815.88"
CMF; MAINTENANCE,"$156,287.13"
ADMIN; HS PRINCIPAL,"$153,362.00"
CMF; MAINTENANCE,"$153,281.11"
ADMIN; DIRECTOR SERS,"$150,114.50"
TEACHER,"$149,146.97"
ADMIN; DIRECTOR SERS,"$147,344.80"
TEACHER,"$147,127.82"
TEACHER,"$146,189.01"
TEACHER,"$145,530.96"
TEACHER,"$145,219.67"
TEACHER,"$143,480.25"
INTERVENTION SPECIALIST; TEACHER,"$142,484.25"
ADMIN; HS PRINCIPAL,"$141,292.50"
TEACHER,"$140,958.36"
LITERACY SPECIALIST; TEACHER,"$140,760.54"
ADMIN; DIRECTOR STRS,"$140,538.70"
TEACHER,"$139,137.00"
ADMIN; ES & MS PRINCIPAL,"$138,816.00"
TEACHER,"$138,394.96"
TEACHER,"$138,027.43"
ADMIN; HS PRINCIPAL,"$136,906.30"
ADMIN; ES & MS PRINCIPAL,"$136,816.00"
INTERVENTION SPECIALIST; TEACHER,"$136,686.96"
TEACHER,"$136,260.64"
ADMIN; DIRECTOR STRS,"$136,171.80"
GUIDANCE COUNSELOR MS 197; TEACHER,"$134,713.35"
TEACHER,"$134,458.46"
GUIDANCE COUNSELOR ES 191; TEACHER,"$134,155.16"
GUIDANCE COUNSELOR HS 200; TEACHER,"$134,112.41"
TEACHER,"$134,025.00"
ADMIN; DIRECTOR STRS,"$133,899.50"
LIBRARY/MEDIA SPC ES; TEACHER,"$133,661.58"
TEACHER,"$133,640.11"
TEACHER,"$133,606.00"
TEACHER,"$133,316.14"
TEACHER,"$133,128.25"
TEACHER,"$132,973.04"
LITERACY SPECIALIST; TEACHER,"$132,966.54"
GUIDANCE COUNSELOR MS 197; TEACHER,"$132,868.61"
INTERVENTION SPECIALIST; TEACHER,"$132,790.79"
TEACHER,"$132,712.64"
TEACHER,"$132,688.64"
LITERACY SPECIALIST; TEACHER,"$132,578.04"
MATH SPECIALIST; TEACHER,"$132,248.39"
TEACHER,"$132,224.50"
TEACHER,"$132,116.25"
TEACHER,"$131,875.76"
ADMIN; DIRECTOR SERS,"$131,832.62"
TEACHER,"$131,373.50"
TEACHER,"$131,349.96"
TEACHER,"$131,320.46"
TEACHER,"$131,242.96"
TEACHER,"$131,185.16"
TEACHER,"$131,144.00"
TEACHER,"$131,083.50"
TEACHER,"$130,989.96"
TEACHER,"$130,958.00"
TEACHER,"$130,925.29"
LITERACY SPECIALIST; TEACHER,"$130,818.25"
TEACHER,"$130,742.64"
TEACHER,"$130,689.81"
EL SPECIALIST; TEACHER,"$130,662.96"
TEACHER,"$130,543.04"
TEACHER,"$130,476.91"
TEACHER,"$130,410.64"
MATH SPECIALIST; TEACHER,"$130,378.96"
ADMIN; DIRECTOR STRS,"$130,350.00"
TEACHER,"$130,308.64"
TEACHER,"$130,242.55"
LITERACY SPECIALIST; TEACHER,"$130,211.04"
TEACHER,"$129,907.64"
TEACHER,"$129,869.15"
TEACHER,"$129,807.25"
ADMIN; ES & MS PRINCIPAL,"$129,686.20"
TEACHER,"$129,581.00"
TEACHER,"$129,555.64"
TEACHER,"$129,447.64"
TEACHER; TEACHER MARKETING,"$129,423.80"
ADMIN; ES & MS PRINCIPAL,"$129,402.40"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$129,384.59"
TEACHER,"$129,354.00"
ADMIN; ES & MS PRINCIPAL,"$129,334.50"
TEACHER,"$129,316.96"
TEACHER,"$129,284.96"
TEACHER,"$129,251.96"
ADMIN; DIRECTOR STRS,"$129,169.00"
TEACHER,"$129,138.87"
GUIDANCE COUNSELOR ES 191; TEACHER,"$129,108.33"
ADMIN; DIRECTOR STRS,"$129,047.80"
GUIDANCE COUNSELOR MS 197; TEACHER,"$128,986.80"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$128,918.37"
TEACHER,"$128,879.30"
TEACHER,"$128,721.00"
INTERVENTION SPECIALIST; TEACHER,"$128,713.54"
TEACHER,"$128,660.96"
TEACHER,"$128,656.96"
TEACHER,"$128,655.21"
GUIDANCE COUNSELOR MS 197; TEACHER,"$128,649.05"
TEACHER,"$128,618.64"
TEACHER,"$128,559.87"
TEACHER,"$128,545.66"
TEACHER,"$128,525.65"
MATH SPECIALIST; TEACHER,"$128,512.14"
TEACHER,"$128,348.20"
GUIDANCE COUNSELOR ES 191,"$128,298.33"
TEACHER,"$128,230.04"
TEACHER,"$128,207.43"
LITERACY SPECIALIST; TEACHER,"$128,173.79"
GUIDANCE COUNSELOR HS 200; TEACHER,"$128,127.17"
TEACHER,"$128,049.04"
TEACHER,"$127,878.96"
MATH SPECIALIST; TEACHER,"$127,874.00"
INTERVENTION SPECIALIST; TEACHER,"$127,819.04"
TEACHER,"$127,804.86"
INTERVENTION SPECIALIST; TEACHER,"$127,770.54"
TEACHER,"$127,669.50"
TEACHER,"$127,648.38"
TEACHER,"$127,563.83"
GUIDANCE COUNSELOR MS 197,"$127,518.20"
TEACHER,"$127,518.00"
TEACHER,"$127,491.96"
TEACHER,"$127,490.00"
TEACHER,"$127,486.98"
TEACHER,"$127,459.00"
TEACHER,"$127,410.01"
LIBRARY/MEDIA SPC ES; TEACHER,"$127,397.66"
TEACHER,"$127,367.00"
TEACHER,"$127,344.00"
TEACHER,"$127,324.39"
TEACHER,"$127,311.33"
CMF; CUSTODIAN,"$127,293.00"
LITERACY SPECIALIST; TEACHER,"$127,214.14"
TEACHER,"$127,178.46"
INTERVENTION SPECIALIST; TEACHER,"$127,158.54"
MATH SPECIALIST; TEACHER,"$127,138.64"
TEACHER,"$127,129.63"
TEACHER,"$127,111.50"
ADMIN; DIRECTOR SERS,"$127,104.59"
TEACHER,"$127,101.75"
TEACHER,"$127,076.04"
TEACHER,"$126,960.14"
TEACHER,"$126,957.00"
TEACHER,"$126,946.14"
TEACHER,"$126,926.96"
TEACHER,"$126,920.04"
TEACHER,"$126,916.96"
TEACHER,"$126,907.79"
TEACHER,"$126,857.86"
TEACHER,"$126,845.71"
ADMIN; DIRECTOR STRS,"$126,834.10"
TEACHER,"$126,737.04"
LITERACY SPECIALIST; TEACHER,"$126,689.79"
TEACHER,"$126,638.64"
TEACHER,"$126,620.71"
TEACHER,"$126,612.14"
LIBRARY/MEDIA SPC ES; TEACHER,"$126,610.21"
TEACHER,"$126,581.96"
TEACHER,"$126,581.96"
INTERVENTION SPECIALIST; TEACHER,"$126,580.25"
TEACHER,"$126,576.96"
TEACHER,"$126,522.04"
TEACHER,"$126,504.46"
TEACHER,"$126,504.46"
TEACHER,"$126,503.96"
TEACHER,"$126,426.96"
TEACHER,"$126,426.96"
TEACHER,"$126,426.96"
TEACHER,"$126,426.96"
TEACHER,"$126,426.96"
TEACHER,"$126,334.43"
TEACHER,"$126,331.04"
INTERVENTION SPECIALIST; TEACHER,"$126,326.00"
MATH SPECIALIST; TEACHER,"$126,325.00"
TEACHER,"$126,321.29"
INTERVENTION SPECIALIST; TEACHER,"$126,306.96"
TEACHER,"$126,293.00"
ADMIN; DIRECTOR STRS,"$126,274.80"
TEACHER,"$126,246.04"
MATH SPECIALIST; TEACHER,"$126,173.68"
INTERVENTION SPECIALIST; TEACHER,"$126,134.96"
TEACHER,"$126,098.64"
TEACHER,"$126,091.96"
INTERVENTION SPECIALIST; TEACHER,"$126,083.21"
TEACHER,"$126,076.96"
TEACHER,"$126,036.75"
TEACHER,"$126,008.38"
TEACHER,"$125,992.96"
TEACHER,"$125,981.50"
INTERVENTION SPECIALIST; TEACHER,"$125,976.96"
TEACHER,"$125,946.98"
TEACHER,"$125,870.50"
ADMIN; DIRECTOR STRS,"$125,863.92"
TEACHER,"$125,855.54"
TEACHER,"$125,793.00"
TEACHER,"$125,793.00"
TEACHER,"$125,793.00"
EL SPECIALIST; TEACHER,"$125,793.00"
TEACHER,"$125,793.00"
TEACHER,"$125,793.00"
TEACHER,"$125,751.96"
INTERVENTION SPECIALIST; TEACHER,"$125,742.79"
TEACHER,"$125,730.36"
TEACHER,"$125,726.96"
TEACHER,"$125,661.79"
TEACHER,"$125,626.96"
TEACHER,"$125,626.96"
TEACHER,"$125,626.96"
TEACHER,"$125,626.96"
TEACHER,"$125,623.04"
TEACHER,"$125,545.54"
TEACHER,"$125,541.96"
EL SPECIALIST; TEACHER,"$125,536.96"
TEACHER,"$125,521.96"
TEACHER,"$125,506.79"
TEACHER,"$125,493.04"
INTERVENTION SPECIALIST; TEACHER,"$125,488.64"
TEACHER,"$125,468.04"
TEACHER,"$125,468.04"
TEACHER,"$125,468.04"
TEACHER,"$125,468.04"
MATH SPECIALIST; TEACHER,"$125,466.00"
INTERVENTION SPECIALIST; TEACHER,"$125,438.64"
TEACHER,"$125,437.89"
TEACHER,"$125,427.00"
GUIDANCE COUNSELOR MS 197; TEACHER,"$125,310.59"
TEACHER,"$125,304.46"
TEACHER,"$125,304.46"
TEACHER,"$125,284.39"
TEACHER,"$125,277.54"
TEACHER,"$125,261.00"
EL SPECIALIST; TEACHER,"$125,247.64"
TEACHER,"$125,226.50"
TEACHER,"$125,201.39"
TEACHER,"$125,181.00"
INTERVENTION SPECIALIST; TEACHER,"$125,153.04"
TEACHER,"$125,146.75"
TEACHER,"$125,050.29"
TEACHER,"$124,993.00"
TEACHER,"$124,993.00"
TEACHER,"$124,966.64"
TEACHER,"$124,957.61"
TEACHER,"$124,873.04"
TEACHER,"$124,810.54"
TEACHER,"$124,810.54"
TEACHER,"$124,810.25"
TEACHER,"$124,770.00"
INTERVENTION SPECIALIST; TEACHER,"$124,713.39"
TEACHER,"$124,705.68"
TEACHER,"$124,693.04"
TEACHER,"$124,691.50"
TEACHER,"$124,682.64"
TEACHER,"$124,668.04"
TEACHER,"$124,668.04"
TEACHER,"$124,668.04"
TEACHER,"$124,668.04"
TEACHER,"$124,668.04"
TEACHER,"$124,668.04"
TEACHER,"$124,668.04"
TEACHER,"$124,668.04"
TEACHER,"$124,655.54"
TEACHER,"$124,655.54"
LITERACY SPECIALIST; TEACHER,"$124,596.64"
TEACHER,"$124,593.00"
INTERVENTION SPECIALIST,"$124,593.00"
LITERACY SPECIALIST; TEACHER,"$124,586.75"
TEACHER,"$124,586.27"
TEACHER,"$124,578.04"
TEACHER,"$124,500.54"
LITERACY SPECIALIST; TEACHER,"$124,499.36"
TEACHER,"$124,466.64"
TEACHER,"$124,465.36"
LITERACY SPECIALIST; TEACHER,"$124,422.25"
TEACHER,"$124,363.00"
TEACHER,"$124,345.54"
INTERVENTION SPECIALIST; TEACHER,"$124,290.64"
TEACHER,"$124,268.04"
NURSE,"$124,268.04"
TEACHER,"$124,267.64"
